text,author
"Once you have an innovation culture, even those who are not scientists or engineers - poets, actors, journalists - they, as communities, embrace the meaning of what it is to be scientifically literate. They embrace the concept of an innovation culture. They vote in ways that promote it. They don't fight science and they don't fight technology.",Neil deGrasse Tyson
Science is fun. Science is curiosity. We all have natural curiosity. Science is a process of investigating. It's posing questions and coming up with a method. It's delving in.,Sally Ride
"Engineering or technology is all about using the power of science to make life better for people, to reduce cost, to improve comfort, to improve productivity, etc.",N. R. Narayana Murthy
Science may have found a cure for most evils; but it has found no remedy for the worst of them all - the apathy of human beings.,Helen Keller
The science of today is the technology of tomorrow.,Edward Teller
"The very nature of science is discoveries, and the best of those discoveries are the ones you don't expect.",Neil deGrasse Tyson
"The method of political science is the interpretation of life; its instrument is insight, a nice understanding of subtle, unformulated conditions.",Woodrow Wilson
"I believe economic growth should translate into the happiness and progress of all. Along with it, there should be development of art and culture, literature and education, science and technology. We have to see how to harness the many resources of India for achieving common good and for inclusive growth.",Pratibha Patil
Happiness is not something you postpone for the future; it is something you design for the present.,Jim Rohn
Learning is the beginning of wealth. Learning is the beginning of health. Learning is the beginning of spirituality. Searching and learning is where the miracle process all begins.,Jim Rohn
We must all suffer one of two things: the pain of discipline or the pain of regret or disappointment.,Jim Rohn
"Take advantage of every opportunity to practice your communication skills so that when important occasions arise, you will have the gift, the style, the sharpness, the clarity, and the emotions to affect other people.",Jim Rohn
"If you don't design your own life plan, chances are you'll fall into someone else's plan. And guess what they have planned for you? Not much.",Jim Rohn
Discipline is the bridge between goals and accomplishment.,Jim Rohn
"You must take personal responsibility. You cannot change the circumstances, the seasons, or the wind, but you can change yourself. That is something you have charge of.",Jim Rohn
Either you run the day or the day runs you.,Jim Rohn
"If you don't like how things are, change it! You're not a tree.",Jim Rohn
Success is neither magical nor mysterious. Success is the natural consequence of consistently applying the basic fundamentals.,Jim Rohn
Take care of your body. It's the only place you have to live.,Jim Rohn
"You cannot change your destination overnight, but you can change your direction overnight.",Jim Rohn
You don't get paid for the hour. You get paid for the value you bring to the hour.,Jim Rohn
Whatever good things we build end up building us.,Jim Rohn
The major value in life is not what you get. The major value in life is what you become.,Jim Rohn
"Success is nothing more than a few simple disciplines, practiced every day.",Jim Rohn
Affirmation without discipline is the beginning of delusion.,Jim Rohn
Maturity is the ability to reap without apology and not complain when things don't go well.,Jim Rohn
"If you go to work on your goals, your goals will go to work on you. If you go to work on your plan, your plan will go to work on you. Whatever good things we build end up building us.",Jim Rohn
"The difficulties you meet will resolve themselves as you advance. Proceed, and light will dawn, and shine with increasing clearness on your path.",Jim Rohn
Success is steady progress toward one's personal goals.,Jim Rohn
Effective communication is 20% what you know and 80% how you feel about what you know.,Jim Rohn
"Time is more value than money. You can get more money, but you cannot get more time.",Jim Rohn
"Let others lead small lives, but not you. Let others argue over small things, but not you. Let others cry over small hurts, but not you. Let others leave their future in someone else's hands, but not you.",Jim Rohn
"To solve any problem, here are three questions to ask yourself: First, what could I do? Second, what could I read? And third, who could I ask?",Jim Rohn
"It is the set of the sails, not the direction of the wind that determines which way we will go.",Jim Rohn
"Research shows that there is only half as much variation in student achievement between schools as there is among classrooms in the same school. If you want your child to get the best education possible, it is actually more important to get him assigned to a great teacher than to a great school.",Bill Gates
"Technology is just a tool. In terms of getting the kids working together and motivating them, the teacher is the most important.",Bill Gates
The first rule of any technology used in a business is that automation applied to an efficient operation will magnify the efficiency. The second is that automation applied to an inefficient operation will magnify the inefficiency.,Bill Gates
"I think it's fair to say that personal computers have become the most empowering tool we've ever created. They're tools of communication, they're tools of creativity, and they can be shaped by their user.",Bill Gates
Technology is unlocking the innate compassion we have for our fellow human beings.,Bill Gates
Information technology and business are becoming inextricably interwoven. I don't think anybody can talk meaningfully about one without the talking about the other.,Bill Gates
"Climate change is a terrible problem, and it absolutely needs to be solved. It deserves to be a huge priority.",Bill Gates
Success is a lousy teacher. It seduces smart people into thinking they can't lose.,Bill Gates
"If you go back to 1800, everybody was poor. I mean everybody. The Industrial Revolution kicked in, and a lot of countries benefited, but by no means everyone.",Bill Gates
"The advance of technology is based on making it fit in so that you don't really even notice it, so it's part of everyday life.",Bill Gates
"Software innovation, like almost every other kind of innovation, requires the ability to collaborate and share ideas with other people, and to sit down and talk with customers and get their feedback and understand their needs.",Bill Gates
It's fine to celebrate success but it is more important to heed the lessons of failure.,Bill Gates
I believe in innovation and that the way you get innovation is you fund research and you learn the basic facts.,Bill Gates
"Paper is no longer a big part of my day. I get 90% of my news online, and when I go to a meeting and want to jot things down, I bring my Tablet PC. It's fully synchronized with my office machine, so I have all the files I need. It also has a note-taking piece of software called OneNote, so all my notes are in digital form.",Bill Gates
We all need people who will give us feedback. That's how we improve.,Bill Gates
"Everyone needs a coach. It doesn't matter whether you're a basketball player, a tennis player, a gymnast or a bridge player.",Bill Gates
We always overestimate the change that will occur in the next two years and underestimate the change that will occur in the next ten. Don't let yourself be lulled into inaction.,Bill Gates
Your most unhappy customers are your greatest source of learning.,Bill Gates
The best teacher is very interactive.,Bill Gates
The future of advertising is the Internet.,Bill Gates
"Headlines, in a way, are what mislead you because bad news is a headline, and gradual improvement is not.",Bill Gates
"It's the poorer people in tropical zones who will get really hit by climate change - as well as some ecosystems, which nobody wants to see disappear.",Bill Gates
"If you have 50 different plug types, appliances wouldn't be available and would be very expensive. But once an electric outlet becomes standardized, many companies can design appliances, and competition ensues, creating variety and better prices for consumers.",Bill Gates
"Historically, privacy was almost implicit, because it was hard to find and gather information. But in the digital world, whether it's digital cameras or satellites or just what you click on, we need to have more explicit rules - not just for governments but for private companies.",Bill Gates
"Governments will always play a huge part in solving big problems. They set public policy and are uniquely able to provide the resources to make sure solutions reach everyone who needs them. They also fund basic research, which is a crucial component of the innovation that improves life for everyone.",Bill Gates
"Well the protester I think is a very powerful thing. It's basically a mechanism of democracy that, along with capitalism, scientific innovation, those things have built the modern world. And it's wonderful that the new tools have empowered that protestor so that state secrets, bad developments are not hidden anymore.",Bill Gates
Someone is sitting in the shade today because someone planted a tree a long time ago.,Warren Buffett
"It takes 20 years to build a reputation and five minutes to ruin it. If you think about that, you'll do things differently.",Warren Buffett
It's better to hang out with people better than you. Pick out associates whose behavior is better than yours and you'll drift in that direction.,Warren Buffett
Chains of habit are too light to be felt until they are too heavy to be broken.,Warren Buffett
Price is what you pay. Value is what you get.,Warren Buffett
Risk comes from not knowing what you're doing.,Warren Buffett
"The only way to get love is to be lovable. It's very irritating if you have a lot of money. You'd like to think you could write a check: 'I'll buy a million dollars' worth of love.' But it doesn't work that way. The more you give love away, the more you get.",Warren Buffett
"Should you find yourself in a chronically leaking boat, energy devoted to changing vessels is likely to be more productive than energy devoted to patching leaks.",Warren Buffett
Wall Street is the only place that people ride to in a Rolls Royce to get advice from those who take the subway.,Warren Buffett
"In the 20th century, the United States endured two world wars and other traumatic and expensive military conflicts; the Depression; a dozen or so recessions and financial panics; oil shocks; a flu epidemic; and the resignation of a disgraced president. Yet the Dow rose from 66 to 11,497.",Warren Buffett
The first rule is not to lose. The second rule is not to forget the first rule.,Warren Buffett
"When a management with a reputation for brilliance tackles a business with a reputation for bad economics, it is the reputation of the business that remains intact.",Warren Buffett
Predicting rain doesn't count. Building arks does.,Warren Buffett
"In the business world, the rearview mirror is always clearer than the windshield.",Warren Buffett
Only when the tide goes out do you discover who's been swimming naked.,Warren Buffett
Rule No.1: Never lose money. Rule No.2: Never forget rule No.1.,Warren Buffett
"Today people who hold cash equivalents feel comfortable. They shouldn't. They have opted for a terrible long-term asset, one that pays virtually nothing and is certain to depreciate in value.",Warren Buffett
We simply attempt to be fearful when others are greedy and to be greedy only when others are fearful.,Warren Buffett
The big question about how people behave is whether they've got an Inner Scorecard or an Outer Scorecard. It helps if you can be satisfied with an Inner Scorecard.,Warren Buffett
"The rich are always going to say that, you know, just give us more money and we'll go out and spend more and then it will all trickle down to the rest of you. But that has not worked the last 10 years, and I hope the American public is catching on.",Warren Buffett
The best thing I did was to choose the right heroes.,Warren Buffett
You only have to do a very few things right in your life so long as you don't do too many things wrong.,Warren Buffett
"I bought a company in the mid-'90s called Dexter Shoe and paid $400 million for it. And it went to zero. And I gave about $400 million worth of Berkshire stock, which is probably now worth $400 billion. But I've made lots of dumb decisions. That's part of the game.",Warren Buffett
"We've used up a lot of bullets. And we talk about stimulus. But the truth is, we're running a federal deficit that's 9 percent of GDP. That is stimulative as all get out. It's more stimulative than any policy we've followed since World War II.",Warren Buffett
We enjoy the process far more than the proceeds.,Warren Buffett
"You know, people talk about this being an uncertain time. You know, all time is uncertain. I mean, it was uncertain back in - in 2007, we just didn't know it was uncertain. It was - uncertain on September 10th, 2001. It was uncertain on October 18th, 1987, you just didn't know it.",Warren Buffett
"In every day, there are 1,440 minutes. That means we have 1,440 daily opportunities to make a positive impact.",Les Brown
Our ability to handle life's challenges is a measure of our strength of character.,Les Brown
You are never too old to set another goal or to dream a new dream.,Les Brown
Shoot for the moon and if you miss you will still be among the stars.,Les Brown
Your goals are the road maps that guide you and show you what is possible for your life.,Les Brown
Your smile will give you a positive countenance that will make people feel comfortable around you.,Les Brown
"If you set goals and go after them with all the determination you can muster, your gifts will take you places that will amaze you.",Les Brown
Wanting something is not enough. You must hunger for it. Your motivation must be absolutely compelling in order to overcome the obstacles that will invariably come your way.,Les Brown
You cannot expect to achieve new goals or move beyond your present circumstances unless you change.,Les Brown
The only limits to the possibilities in your life tomorrow are the buts you use today.,Les Brown
"Just because Fate doesn't deal you the right cards, it doesn't mean you should give up. It just means you have to play the cards you get to their maximum potential.",Les Brown
Don't let someone else's opinion of you become your reality.,Les Brown
Help others achieve their dreams and you will achieve yours.,Les Brown
Review your goals twice every day in order to be focused on achieving them.,Les Brown
"When life knocks you down, try to land on your back. Because if you can look up, you can get up. Let your reason get you back up.",Les Brown
"Make each day count by setting specific goals to succeed, then putting forth every effort to exceed your own expectations.",Les Brown
Forgive yourself for your faults and your mistakes and move on.,Les Brown
"There are winners, there are losers and there are people who have not yet learned how to win.",Les Brown
You don't get what you want in life. You get who you are!,Les Brown
"Life takes on meaning when you become motivated, set goals and charge after them in an unstoppable manner.",Les Brown
"Anytime you suffer a setback or disappointment, put your head down and plow ahead.",Les Brown
We were all born with a certain degree of power. The key to success is discovering this innate power and using it daily to deal with whatever challenges come our way.,Les Brown
We have to live life with a sense of urgency so not a minute is wasted.,Les Brown
Goals help you channel your energy into action.,Les Brown
"If you put yourself in a position where you have to stretch outside your comfort zone, then you are forced to expand your consciousness.",Les Brown
A lot of people do not muster the courage to live their dreams because they are afraid to die.,Les Brown
The most important thing in communication is hearing what isn't said.,Peter Drucker
Management is doing things right; leadership is doing the right things.,Peter Drucker
"The entrepreneur always searches for change, responds to it, and exploits it as an opportunity.",Peter Drucker
Efficiency is doing things right; effectiveness is doing the right things.,Peter Drucker
Rank does not confer privilege or give power. It imposes responsibility.,Peter Drucker
The aim of marketing is to know and understand the customer so well the product or service fits him and sells itself.,Peter Drucker
Plans are only good intentions unless they immediately degenerate into hard work.,Peter Drucker
The best way to predict the future is to create it.,Peter Drucker
Effective leadership is not about making speeches or being liked; leadership is defined by results not attributes.,Peter Drucker
There is nothing so useless as doing efficiently that which should not be done at all.,Peter Drucker
"Knowledge has to be improved, challenged, and increased constantly, or it vanishes.",Peter Drucker
Follow effective action with quiet reflection. From the quiet reflection will come even more effective action.,Peter Drucker
The purpose of a business is to create a customer.,Peter Drucker
We now accept the fact that learning is a lifelong process of keeping abreast of change. And the most pressing task is to teach people how to learn.,Peter Drucker
So much of what we call management consists in making it difficult for people to work.,Peter Drucker
"Teaching is the only major occupation of man for which we have not yet developed tools that make an average person capable of competence and performance. In teaching we rely on the 'naturals', the ones who somehow know how to teach.",Peter Drucker
"Unless commitment is made, there are only promises and hopes... but no plans.",Peter Drucker
Today knowledge has power. It controls access to opportunity and advancement.,Peter Drucker
Trying to predict the future is like trying to drive down a country road at night with no lights while looking out the back window.,Peter Drucker
Making good decisions is a crucial skill at every level.,Peter Drucker
Innovation is the specific instrument of entrepreneurship. The act that endows resources with a new capacity to create wealth.,Peter Drucker
Most of what we call management consists of making it difficult for people to get their work done.,Peter Drucker
Never mind your happiness; do your duty.,Peter Drucker
Accept the fact that we have to treat almost anybody as a volunteer.,Peter Drucker
A manager is responsible for the application and performance of knowledge.,Peter Drucker
The computer is a moron.,Peter Drucker
"If you want to succeed you should strike out on new paths, rather than travel the worn paths of accepted success.",John D. Rockefeller
"I do not think that there is any other quality so essential to success of any kind as the quality of perseverance. It overcomes almost everything, even nature.",John D. Rockefeller
"The most important thing for a young man is to establish a credit... a reputation, character.",John D. Rockefeller
"I believe that every right implies a responsibility; every opportunity, an obligation; every possession, a duty.",John D. Rockefeller
I have ways of making money that you know nothing of.,John D. Rockefeller
Good leadership consists of showing average people how to do the work of superior people.,John D. Rockefeller
"Every right implies a responsibility; Every opportunity, an obligation, Every possession, a duty.",John D. Rockefeller
I can think of nothing less pleasurable than a life devoted to pleasure.,John D. Rockefeller
"Next to doing the right thing, the most important thing is to let people know you are doing the right thing.",John D. Rockefeller
I always tried to turn every disaster into an opportunity.,John D. Rockefeller
Do you know the only thing that gives me pleasure? It's to see my dividends coming in.,John D. Rockefeller
The ability to deal with people is as purchasable a commodity as sugar or coffee and I will pay more for that ability than for any other under the sun.,John D. Rockefeller
"And we are never too old to study the Bible. Each time the lessons are studied comes some new meaning, some new thought which will make us better.",John D. Rockefeller
There is nothing in this world that can compare with the Christian fellowship; nothing that can satisfy but Christ.,John D. Rockefeller
Good management consists in showing average people how to do the work of superior people.,John D. Rockefeller
Charity is injurious unless it helps the recipient to become independent of it.,John D. Rockefeller
Giving should be entered into in just the same way as investing. Giving is investing.,John D. Rockefeller
"This Sunday School has been of help to me, greater perhaps than any other force in my Christian life, and I can ask no better things for you than that you, and all that shall come after you in this great band of workers for Christ, shall receive the same measure of blessedness which I have been permitted to have.",John D. Rockefeller
Don't be afraid to give up the good to go for the great.,John D. Rockefeller
"I believe in the dignity of labor, whether with head or hand; that the world owes no man a living but that it owes every man an opportunity to make a living.",John D. Rockefeller
"Singleness of purpose is one of the chief essentials for success in life, no matter what may be one's aim.",John D. Rockefeller
I believe that thrift is essential to well-ordered living.,John D. Rockefeller
I would rather earn 1% off a 100 people's efforts than 100% of my own efforts.,John D. Rockefeller
Don't blame the marketing department. The buck stops with the chief executive.,John D. Rockefeller
Competition is a sin.,John D. Rockefeller
A friendship founded on business is better than a business founded on friendship.,John D. Rockefeller
"Failure is simply the opportunity to begin again, this time more intelligently.",Henry Ford
